StationId,StationName,City,State,FullAddress,location,latitude,longitude,road_distance,river_distance,industry_distance
KA002,"BTM Layout, Bengaluru - CPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226,57.60147554,89.44091161,120.9149947
KA003,"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226,57.60147554,89.44091161,120.9149947
KA004,"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226,57.60147554,89.44091161,120.9149947
KA005,"City Railway Station, Bengaluru - KSPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226,57.60147554,89.44091161,120.9149947
KA006,"Hebbal, Bengaluru - KSPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226,57.60147554,89.44091161,120.9149947
KA007,"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226,57.60147554,89.44091161,120.9149947
KA008,"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226,57.60147554,89.44091161,120.9149947
KA009,"Peenya, Bengaluru - CPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226,57.60147554,89.44091161,120.9149947
KA010,"Sanegurava Halli, Bengaluru - KSPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226,57.60147554,89.44091161,120.9149947
KA011,"Silk Board, Bengaluru - KSPCB",Bengaluru,Karnataka,"Bengaluru, Karnataka, India","Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",12.9881567,77.6226,57.60147554,89.44091161,120.9149947
KA012,"Urban, Chamarajanagar - KSPCB",Chamarajanagar,Karnataka,"Chamarajanagar, Karnataka, India","Chamarajanagar, Karnataka, India",11.95442,77.1069086,5000,15000,30000
KA013,"Chikkaballapur Rural, Chikkaballapur - KSPCB",Chikkaballapur,Karnataka,"Chikkaballapur, Karnataka, India","Nelamangala - Chikkaballapur Highway, Nelamangala, Nelamangala taluk, Bengaluru Rural, Karnataka, 562123, India",13.0993764,77.388729,0.002700416,567.8689582,1717.013998
KA014,"Kalyana Nagara, Chikkamagaluru - KSPCB",Chikkamagaluru,Karnataka,"Chikkamagaluru, Karnataka, India","Chikkamagaluru, Karnataka, India",13.4058699,75.638758,600.7520616,5986.73698,18862.67776
KA015,"Deshpande Nagar, Hubballi - KSPCB",Hubballi,Karnataka,"Hubballi, Karnataka, India","Hubballi, Hubballi Urban Taluku, Dharwad, Karnataka, 580020, India",15.3518378,75.1379848,34.60407394,2038.258494,367.2345407
